dept_id,department
11675,Diverse Lrn Related Svc Prv CW
23131,Esmond School
25351,Jesse Sherwood School
23911,Edward N Hurley School
47061,Senn HS
46181,Thomas Kelly High School
47101,Whitney M Young Magnet HS
24771,Oriole Park School
22941,William E Dever School
29311,John H Vanderpoel Magnet Sch
24761,William J Onahan School
46321,Lincoln Park High School
29011,Thomas A Edison Reg Gifted Ct
24721,West Park Academy
29221,Philip Murray Language Academy
25601,James N Thorp School
24021,Joyce Kilmer School
26601,William E B Dubois School
46291,Steinmetz College Prep
23231,Telpochcalli School
22681,Eliza Chappell School
25151,Cesar Chavez Multicultural Ac
46281,Carl Schurz High School
22061,Philip Armour Elem
25211,Sauganash School
22881,Charles R Darwin School
22081,George Armstrong Intl Studies
24081,Rudyard Kipling School
23651,Robert Healy School
22401,Luther Burbank Elem
47021,Jones College Prep
22231,Alexander Graham Bell Elem
26391,George Leland School
24401,Oscar F Mayer School
49051,Simpson Academy for Yng Women
31181,Francis W Parker Comm Academy
23341,J W Von Goethe School
25771,George Washington School
23491,Nathan Hale School
24241,Joseph Lovett School
24461,Hanson Park School
31281,Orozco Fine Arts and Sci
23201,Fernwood School
30141,Courtenay Language Arts Center
24431,Cyrus H Mccormick School
22171,Newton Bateman Elem
25581,Mancel Talcott School
53061,Simeon Career Academy
25631,Enrico Tonti School
70020,Walter Payton College Prep HS
23321,Frank L Gillespie School
29071,Gerald Delgado Kanoon Mag Sch
25471,Adlai E Stevenson School
25951,Richard J Daley Academy
24821,John M Palmer School
41111,Marine Leadership Acad at Ames
31211,Pulaski Internl Schl of Chgo
24711,Norwood Park School
24201,Carl Von Linne School
23041,John F Eberhart School
22201,Jean Baptiste Beaubien Elem
24941,Mary G Peterson School
46331,George Washington High School
23751,South Loop School
30011,Nancy B Jefferson Alt School
22311,Brentano Math & Sci Acad
23811,Rufus M Hitch School
46141,Gage Park High School
46421,Juarez Community Academy HS
23621,Stephen K Hayt School
25661,Mark Twain School
25071,William H Ray School
