job_code,job_title
984100,School Social Worker
49,Regular Teacher
55,Bilingual Teacher
500629,Special Education Teacher
41,Principal
990101,School Counselor
983600,Military Instructor
54,Program Option Teacher
42,Assistant Principal
986000,School Psychologist
200041,Interim Principal
29,International Bacl Teacher
986900,School Nurse
989100,Teacher-Speech Pathologist
990100,Teacher-Citywide
48,Head Teacher
989200,Occupational Therapist
59,High School Support Teacher
39,Part-Time Teacher
100048,Acting Head Teacher
983620,Commandant
100041,Acting Principal
480,School Security Officer
691,Technology Coordinator
4223,Custodial Worker
463,Teacher Assistant
2533,School Bus Aide
2770,Lunchroom Attendant
2983,Senior Security Officer
2741,Cook II
468,School Clerk
2777,Lunchroom Manager
2738,Elementary Lunchroom Manager
2763,Associate Lunchroom Mgr III
2795,Porter
3620,Hospital Licensed Prac Nurse
2742,Cook III
466,School Counseling Office Asst
9901,Parent Worker - Bus Monitor
2501,School Clerk (Bilin Spanish)
500980,Accounting Technician
464,Special Ed Classroom Assist
476,Teacher Asst Bil Spanish
3429,Ed Sign Language Interpreter
7183,Motor Truck Driver
2520,Teacher Asst-Montessori Prm
531,School Library Assistant
4222,Lead Custodial Worker
478,Teacher Assistant Bilingual
2740,Cook I
3618,Health Service Nurse
1842,Military Property Custodian
3917,Instructor Assistant
2987,Safety And Security Off
462,School Assistant
2761,Associate Lunchroom Mgr I
4224,Factor Custodial Worker
2762,Associate Lunchroom Mgr II
3515,Student Special Needs Prm Asst
3501,School Social Svc Assistant
712,Community Relations Rep II
475,School Assistant-Bilingual
3150,Audio And Vision Screen Tech
702,Parent Advocate
701,School Community Representive
500295,Office Manager
4245,Custodial Worker Assistant
9708,"Operations Mgr, School Based"
710,Student Special Svc Advocate
467,School Clerk Assistant
469,Bilingual Sp Educ Classrm Asst
711,Community Relations Rep
9907,Parent Worker - Other
500970,Senior Accountant
501496,Student Safety Ctr Coordinator
2774,Lunchroom Cashier
7185,Foreman Of Motor Truck Drivers
470,Interpreter Clerk
504868,"Dir, Grant Ops & Fiscal Mntrng"
152,School Business Manager
472,Special Education Support Clrk
500969,Accountant
504869,Grants Accounting Specialist
671,Computer Technician
989300,Physical Therapist
28,Lead Teacher
983300,Teacher - Librarian
504348,Device Management Manager
504636,Cloud Software Architect
500408,Senior Legal Secretary
500705,Employee Records Processor
500159,Employment Specialist
500707,EOCO Investigator
504279,Senior HR Business Partner
504713,"ED, HR Operations"
500154,Employee Records Manager
504704,"ED, Administrative Hearings"
504870,Employee Transaction Spec
501641,"Dir, Administrative Hearings"
500822,Training Specialist
504301,Benefits Specialist
500551,Transportation Security Spec
500101,Data Systems Manager
504677,Administrative Hearing Officer
504310,"Manager, Employee Leaves"
500708,ADA Manager
504810,ADA Investigator
500366,Secretary To The Bd Of Ed
501514,Board Office Production Spec
500926,Asst Secretary to the Bd of Ed
504871,"Director, OSHW"
504831,Senior Program Manager
504872,Special Asst to the Board Pres
196,"Manager, Auditing"
504873,School Budget Specialist
504988,"Director, Accounts Payable"
500085,Controller
504874,Assistive Technology Spec
504440,Front End Web Developer
504875,Service Management Team Lead
504876,Service Management Analyst
500893,"Director, Network Services"
504768,Sr Enterprise Archtct Engineer
504863,SIS Support Specialist
501747,"Manager, Client Systems"
501818,"Manager, Web Production"
500410,Senior Network Engineer
500438,Telecom Wireless Specialist
504435,Senior Software Engineer
504416,Service Ops Center Engineer
504338,"Mgr, Enterprise Tech Support"
500895,Telecom Operations Manager
500730,Information Security Engineer
500439,Telecom Customer Service Spec
500442,Telecom Ops Specialist
501516,AD Architect
500305,Order Management Analyst
504347,Network Ops Team Lead
501635,Category Manager
500440,Telecom Infrastructure Engr
504683,"ED, Nutrition Support Services"
501214,Business Operations Specialist
500063,Chief Info Technology Officer
500896,Telecom Infrastructure Manager
504346,Ops Center Eng Team Lead
504360,Chrome Platform Lead Engineer
501233,Senior Windows Engineer
501485,"Director, Web Services"
504852,"Deputy Chief, ITS"
504818,Platform Lead
504880,LSC Relations Specialist
504881,NSS Compliance Specialist
604315,"Manager, Business Operations"
500006,Administrative Assistant
500666,Senior Investigator
500764,Program Coordinator
500441,Telecommunications Manager
504428,Chief Performance Analyst
500668,Investigator III
500665,Chief Investigator
501816,Sr Category Buyer
504707,Vendor Support Services Mgr
504555,Program Manager
504414,Senior Performance Analyst
504882,Web & Digital Content Spec
601569,Program Director
500975,Accounts Payable Tech
500369,Chief Procurement Officer
504905,Sr Background Check Specialist
504724,Vendor Support Specialist
504604,Sr Inventory Mgmt Ctrl Clerk
504605,Inventory Mgmt Control Clerk
501781,Project Manager
504597,Legal Assistant
500164,Executive Assistant
505040,Paralegal Lead
504562,Investigation Assistant
500667,Investigator II
504471,Paralegal
504884,Records Manager
500229,Investigations Manager
504453,Asst Deputy General Counsel
504885,"Mgr, Digital Media Services"
500685,Assistant General Counsel
500843,Assistant General Counsel
500383,Senior Asst General Counsel
500025,Deputy General Counsel
500190,General Counsel
500187,First Deputy General Counsel
504651,Sr Business Operations Spec
504454,Labor Relations Man. Attorney
504892,Sr Administrative Hearing Ofcr
504886,ODLSS Compliance Coordinator
501715,Transportation Manager
504887,Contract Compliance Specialist
504383,Sr Financial Systems Analyst
504803,Financial Systems Manager
501295,Financial Transaction Spec
500183,Financial Systems Analyst
500044,Budget Manager
715,Customer Service Rep
500981,Payroll Call Center Rep
500972,Payroll Administrator
500310,Payroll Manager
500128,"Director, Payroll Services"
500414,Senior Payroll Specialist
504888,Revenue Specialist
504804,Financial Analyst
504889,Invoice Processing Lead
600719,Student Testing Manager
504715,Deputy CFO & Treasurer
500404,Guest Relations Specialist
504484,Sr Risk and Insurance Analyst
474,School Assist Bilingual-Spnish
504503,"Director, Non-Public Programs"
703,Parent Advocate-Bilingual
501565,Chief Safety & Security Off
601827,Mgr Deaf/Hard of Hearing Prog.
504480,Contact Center Specialist
504819,Business Services Specialist
500386,Senior Budget Analyst
504891,"Manager, Fiscal Monitoring"
504282,Talent Staffing Manager
504306,"ED, Healthcare & Benefits"
504280,HR Business Partner
500296,Inspector General
500464,Benefits Analyst
501358,Student Adjudication Spec
504893,"Dir, Bus Process Improvement"
504730,Training Manager
504278,Contact Center Team Lead
504110,"Director, Business Operations"
500902,Construction Manager
500844,Senior Policy Advisor
504894,Business Operations Coord
504479,Performance Analyst
501080,Chief Facilities Officer
504728,Teacher Recruitment Manager
1675,"Director, Real Estate"
500618,Senior Web Administrator
501237,"Director, HRIT"
504340,"Dir, Enterprise Fin Systems"
504895,"Director, Information Security"
501007,"Mgr, Enterprise Server Ops"
504349,"Mgr, Technology Change Mgmt"
504877,Senior HRIT Analyst
500852,Senior Project Manager
501759,Business Analyst
504367,Sr ETL Developer
504896,SIS Analyst
504581,Enterprise Server Architect
501823,Sr Enterprise Tech Suppt Spec
504250,Business Intelligence Analyst
504897,Senior Business Analyst
504898,Business Diversity Compl Mgr
504723,"ED, Business Diversity"
44,Curriculum And Instruct Coach
500014,App Systems & Development Mgr
504899,SIS Report Developer
504900,Application Manager
504901,Storage Area Network Lead
504853,"ED, Enterprise Data Strategy"
504813,Sr Accounts Payable Specialist
504628,"Director, Planning & Design"
504902,Sr Grant Financial Specialist
501165,Senior Systems Analyst
500168,"Director, Facilities Ops"
500990,"Director, New Construction"
504903,Demographic Data Strategist
601741,"Director, Workforce Analytics"
600332,Program Manager
504904,Early Childhood Resource Spec
504386,Senior Financial Analyst
500932,Landscape Maintenance Tech
504753,IT Change Manager
504829,Sr SIS Specialist
504637,Workforce Data Manager
504615,Staffing Manager
504845,CAC Specialist
37,Magnet Program Specialist
504610,"Manager, Capital Finance"
504365,Asset Management Lead
500590,Service Desk Manager
501765,iOS Device Mgmt Administrator
504854,ED Enterprise Application Srvc
990200,Part-Time School Counselor
600735,Literacy Coach
504379,"Dir, School Technology & Spprt"
600659,Chinese World Language Coord
505036,School Assignment Specialist
504835,"Manager, Board Relations"
500100,Data Manager
601805,School Assignment Manager
7808,Head Stadium Attendant
7807,Stadium Attendant
504756,ED Cap Planning & Construction
500420,Senior Research Analyst
504907,"Director, External Research"
500800,Senior Data Analyst
501531,Workforce Analyst
501043,Attendance Coordinator
500928,"Director, LSC Relations"
2986,Climate Team Officer*
500373,Security Team Leader
500196,Grant Analyst
504663,Student Records Team Lead
501133,Chief Talent Officer
504796,Digital Media Specialist
505006,"Director, Human Resources"
504793,Asset Management Coordinator
504382,"Dir, External Partnerships"
504755,Grants Manager
500166,Executive Assistant
500446,School Culture Coordinator
504908,"Manager, Data Quality"
501026,Debt Manager
504798,Risk and Insurance Manager
504909,Mgr Home & Hospital Instrctn
500656,College/Career Coach
500925,"Dep Chief of Staff, Bd of Ed"
501830,Transportation Routing Spec
500105,Database Specialist
501203,Transportation CS Rep
504533,Federal Affairs Director
500071,Community Coordinator
504520,Digital Media Coordinator
504910,"Mgr, Digital Media Solutions"
500909,Sr Application Specialist
3440,Lifeguard
504438,Background Check Specialist
500858,Payroll Team Lead
5852,Radio-Tv Engineer
2989,Senior Climate Team Officer
501283,"Mgr, State Legislative Affairs"
504912,FACE Specialist
504244,"Director, FACE"
504913,Dir Accountability & Engagmnt
504914,"ED, Assessment"
504915,Spec Asst to the COO
501413,STLS Coordinator
501334,Assessment Specialist
504916,Ed Tech Support Specialist
501391,"Mgr, Summer Bridge & Accel"
600732,"Manager, Literacy"
601325,Social Science Specialist
601327,Math Specialist: K-5
601330,Science Specialist: K-5
504917,"ED, Arts"
501394,ED Social & Emotional Learning
504836,"Sr Manager, Sports Admin"
601430,MGIBAP Support Specialist
504919,Senior Speechwriter
501445,Policy & Procedure Specialist
504289,"ED, Edu Policy & Procedures"
500065,Chief Of Staff To The Bd Of Ed
504415,Data Analyst
601806,"Sr Mgr, Attendance & Truancy"
504921,Dir Community Sfty & Relations
500042,Budget Analyst
504601,"Dir, Schl-Based HR Partnership"
504815,Payroll Specialist
500482,"Director, HR Operations"
504806,Senior Dietitian
504678,"Manager, Safety Services"
504433,Event Safety Supervisor
501467,Parent Support Administrator
601050,Lead Parent Support Admin
500908,Student Engagement Specialist
504286,Curriculum and Instruction Mgr
501226,Human Resources Specialist
504922,Network Safety Specialist
504923,"Director, Safety Services"
501487,Network Safety Manager
3015,Youth Intervention Specialist
501501,Real Estate Advisor
504925,"Sr Manager, Project Controls"
504926,EFS Technical Lead
504708,IT Training Manager
500866,Dir Student Information Systms
504236,Chief Labor Relations Officer
501522,"ED, Transportation"
504821,Athletic Program Administrator
504846,Cost Control Manager
504927,Capital Planning Coordinator
501145,Administrative Hearings Schedr
504738,"ED, Teacher Recruitment"
504515,"ED, Educator Effectiveness"
504928,"Deputy Chief, OBGM"
501571,Educator Effectiveness Manager
504762,Evaluation Manager
501079,"Dir, Intergovernmental Affairs"
504468,CTE Academy Coordinator
501459,Principal Transition Spec
504419,"Dir, Demographics & Planning"
2991,Flex Team Security Officer
504929,Sr Mgr Teacher Evaluation
600098,Deputy Chief of ECE
600106,Clinical Crisis Team Director
600085,"ED, Military Instruction"
600256,"Director, Military Instruction"
600677,"Manager, Logistics JROTC"
601427,Staffing Manager
600693,JROTC Instruction Specialist
604286,Curriculum and Instruction Mgr
501567,Crisis Coordinator
601346,School Counseling Specialist
500824,Transition Specialist
500078,Financial Compliance Manager
600447,"Dir, School Culture & Climate"
504528,Asset Coordinator
504931,Sr Mgr Strategic Initiatives
500472,Dietitian
504890,Student Engagement Team Lead
504690,Student Outreach Re-Engage Mgr
501130,Deputy Chief of Staff
501475,Deputy Chief Safety & Security
500351,Regional Security Facilitator
601250,Chief Teaching & Learning Off
500559,Warehouse Supervisor
500474,"Coordinator, Transportation"
501119,Warehouse & Logistics Manager
504932,Program Assistant
504631,"Manager, Non-Public Programs"
504933,Risk Data Manager
601406,K-8 Counseling Specialist
501449,STLS Manager
504681,Web & Digital Content Manager
504737,Deputy Chief Talent Officer
501684,"Dir, Performance Data & Policy"
601315,"Director, Literacy"
501553,Re-Engagement Program Coord
501669,Title IX Sports Compl Spec
504934,Student Discipline Suppt Spec
501434,"Mgr, Academic Competition"
2977,Security Supervisor II
504935,Identity & Access Mgmt Eng
504507,"Sr Manager, Architecture Dsgn"
504791,Dir Environmental Hlth & Sfty
504834,Sr Manager Elementary Sports
504655,"Dir, Renovation Construction"
505035,Senior Data Specialist
504760,Senior Legal Assistant
501751,School Enrollment Coordinator
501752,School Entry Suppt Specialist
601807,"Mgr, Visual Impairments Prog"
601435,"Sr Manager, Early Education"
501817,"Mgr, Enterprise Architecture"
501760,Oracle Applications Developer
